Id,Name,Category,Created at,Updated at,Parent category,Partner
2691,Programming,skills,2025-09-27 00:18:47 UTC,2025-09-27 00:18:47 UTC,Programming Languages,
2690,Java,skills,2025-09-27 00:18:47 UTC,2025-09-27 00:18:47 UTC,Programming Languages,
2689,Open-source data tools,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Open Source Tools,
2688,Machine learning,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Machine Learning,
2687,Business case analysis,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Business Strategy,
2686,ETL pipelines,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Data Engineering,
2685,Exploratory data analysis,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Data Analysis,
2684,ChatGPT prompt engineering,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,AI and Prompt Engineering,`
2683,Tableau visualization,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Business Intelligence,
2682,SQL querying,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Database Management,
2681,Python programming,skills,2025-09-03 15:49:59 UTC,2025-09-03 15:49:59 UTC,Programming Languages,
2680,Understading API's is a Plus,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,API and Integration,
2679,Workflow logics,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,Process Automation,
2678,Basic understanding of AI,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,AI and Machine Learning,
2677,Interest in AI,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,API and Integration,
2676,Creativity,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,Soft Skills,
2675,Common Sense,skills,2025-08-29 15:24:14 UTC,2025-08-29 15:24:14 UTC,Soft Skills,
2674,Data Management,skills,2025-08-27 15:11:18 UTC,2025-08-27 15:11:18 UTC,Data Analysis,
2673,Wordpress,skills,2025-08-27 13:59:21 UTC,2025-08-27 13:59:21 UTC,Web Development,
2672,Micosoft Teams,skills,2025-08-27 13:59:21 UTC,2025-08-27 13:59:21 UTC,Collaboration Tools,
2671,Salesforce,skills,2025-08-27 12:40:29 UTC,2025-08-27 12:40:29 UTC,Business Systems,
2670,Data Vi,skills,2025-08-25 17:59:08 UTC,2025-08-25 17:59:08 UTC,Data Visualization,
2669,Shiny for Python,skills,2025-08-25 17:27:36 UTC,2025-08-25 17:27:36 UTC,Programming Languages,
2668,Shiny for R,skills,2025-08-25 17:27:36 UTC,2025-08-25 17:27:36 UTC,Data Visualization Tools,
2667,API,skills,2025-08-25 17:27:36 UTC,2025-08-25 17:27:36 UTC,API and Integration,
2666,Strategic decision support,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Strategic Planning,
2665,Business intelligence,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Business Intelligence,
2664,Spreadsheet modeling,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Engineering Simulation,
2663,Client presentation skills,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Business Communication,
2662,Project planning,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Project Management,
2661,Communication skills,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Soft Skills,
2660,Team-based problem-solving,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Soft Skills,
2659,Data storytelling,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Communications and PR,
2658,Business case development,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Business Strategy,
2657,Statistical analysis,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Research and Statistics,
2656,Dashboard creation,skills,2025-08-20 15:13:20 UTC,2025-08-20 15:13:20 UTC,Business Intelligence,
2655,Prescriptive analytics,skills,2025-08-20 15:13:19 UTC,2025-08-20 15:13:19 UTC,Data Analysis,
2654,Predictive modeling,skills,2025-08-20 15:13:19 UTC,2025-08-20 15:13:19 UTC,Engineering Simulation,
2653,Data cleaning,skills,2025-08-20 15:13:19 UTC,2025-08-20 15:13:19 UTC,Data Analysis,
2652,Communications Audit,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Risk and Compliance,
2651,Media planning,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Communications and PR,
2650,Messaging development,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Communications and PR,
2649,Competitive analysis,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Market Research,
2648,Content strategy,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Content Strategy,
2647,Digital marketing,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,DevOps and Version Control,
2646,Report writing,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Business Communication,
2645,Presentation skills,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Business Communication,
2644,PR strategy,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Communications and PR,
2643,Marketing analytics,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Sales and Marketing,
2642,Campaign development,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Sales and Marketing,
2641,Consumer research,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Market Research,
2640,Brand strategy,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Sales and Marketing,
2639,Strategic communication planning,skills,2025-08-14 20:32:20 UTC,2025-08-14 20:32:20 UTC,Soft Skills,
2638,Product Development,skills,2025-08-10 06:06:49 UTC,2025-08-10 06:06:49 UTC,Product Management,
2637,Design,skills,2025-08-10 06:06:49 UTC,2025-08-10 06:06:49 UTC,Design,
2636,Data Science,skills,2025-08-10 06:06:49 UTC,2025-08-10 06:06:49 UTC,Data Science,
2635,AI/ML Development,skills,2025-08-10 06:06:49 UTC,2025-08-10 06:06:49 UTC,Machine Learning,
2634,Documentation and training,skills,2025-08-08 19:14:19 UTC,2025-08-08 19:14:19 UTC,Human Resources,
